x,y
82.583219816,134.907413693
73.9224661817,134.085179509
34.887445362,
61.8399826861,114.53063758
16.7759402494,31.3764373092
0.0167373359582,8.76463416457
44.4576464588,73.2853412777
10.3449093045,18.8598646606
42.767132286,72.9466085965
20.8566380232,28.6372863296
16.8290553007,27.1841378405
1.07902502181,15.4689547496
45.6325519584,77.2555245654
89.4126643899,147.817536007
3.88238694198,29.6291480105
50.2450187358,92.3157165261
70.4849877849,111.063745016
1.82741469056,2.79748519393
63.6168200865,98.2279619544
67.130941541,117.082721074
66.9740861938,111.155559086
87.5816415744,147.023504239
61.3683900922,99.6287064094
29.8904469816,47.9462030151
46.8715650436,80.5158890662
48.4663410606,76.6515946156
94.9988212822,155.583206615
94.5934245493,155.830527004
36.3008819505,52.6441029354
54.6346331872,100.329195166
47.7450244472,67.0305081726
49.2977712358,80.8896433952
58.6549341967,96.2040938389
2.33160528524,-6.23629470525
17.1660420193,23.5571593964
69.8339429993,107.781019115
71.4639932114,112.883656953
44.5155831831,72.0031721195
6.49994340484,20.2593400927
78.6214442582,131.043840011
55.2045112668,94.7798678837
17.5669266104,28.2105956597
5.50463432837,14.170401213
8.45292157053,23.1997910542
87.1252000758,147.127249565
20.1682822161,46.8908904872
61.4469112302,105.756282426
84.2731974207,126.466084815
17.1902242633,42.0695179721
79.8983488779,138.627807234
91.0412085637,139.406306013
58.1430701202,
96.1618640615,163.353958295
20.3587254305,38.2237585802
59.5961278337,105.046109745
40.9187874438,68.5409892193
61.9481879014,100.237276852
5.11139298788,15.2017754007
60.5423878634,
31.4674014053,60.2143420996
85.6995729111,
69.2402942201,113.934949545
47.6576217878,
70.5341748995,
52.3485596884,85.162727421
34.402007841,53.377756957
92.3248622752,160.495456893
29.4368933289,43.394358478
31.2646589454,58.1736830985
55.3072004456,81.6430634534
54.4048535007,87.6435086839
79.4503884187,135.397698569
99.432293859,159.073609397
96.7902231701,161.363099697
64.5630473216,91.6448123709
97.7401928093,166.1645443
35.9908867894,54.8640048158
52.9094700955,78.9791646914
88.5807211969,141.130399752
72.6435613696,119.088279253
81.3612442681,136.229370624
27.7376660585,35.039590815
77.0489047115,130.807242117
84.8616029917,136.223931279
24.1409328395,43.3497791811
60.3058934052,106.184767396
68.0198214893,121.274429833
74.2183446201,115.181843061
82.3605939758,137.429914857
4.51967860405,16.0264002141
2.54642468753,
94.9626908961,141.013134134
0.914204632096,
8.85421967521,13.4504920848
37.8841418485,61.5069968804
85.7408594396,133.922297309
65.1797881014,126.827116388
24.3337653684,50.2577968484
85.157756709,144.754676466
80.5391523923,120.697309081
